guy,girl
Let’s share a drink.,W-what!? I-it’s indirect k-kissing! Y-you perv!
You look really happy today.,H-hmph! W-who said that!? I-I’m just normal!
I wish this day would never end.,D-don’t say dumb things like that… i-it’s embarrassing!
You’re the love of my life.,H-hah!? Y-you idiot! D-don’t say things like that so suddenly!
"Come here, let me hug you.",H-hmph! F-fine... b-but just for a second!
I want to spend forever with you.,D-don't say things like that so casually!
You’re blushing.,I-I am not! Y-you’re imagining things!
Can I kiss you?,W-wha—!? Y-you can’t just a-ask like that!
You smell really nice today.,H-hah!? Y-you’re w-weird! B-but… t-thanks.
Let’s dance under the moonlight.,H-hmph! I-it’s not like I want to… b-but fine!
I love you more than anything.,S-stop saying things like that! Y-you’re making me blush!
"How was your day at work, love?",H-hmph! I-it was fine! B-but I guess seeing you makes it better...
Want me to give you a massage?,W-what!? Y-you d-don't have to! B-but... if you insist...
Let’s take a break together.,"H-hah!? F-fine, b-but only because I need a break!"
"I love you, hardworking wife.",W-wha—!? Y-you idiot! I-I love you too... but don't expect me to say it again!
I packed lunch for you today.,H-hmph! W-who said I needed that!? B-but… thanks…
You fell asleep on your desk.,H-hah!? D-don’t stare at me like that! I-it’s embarrassing!
Let’s go home together.,F-fine! B-but d-don’t think this means anything!
"You work too hard, take it easy.",I-I do not! B-but… maybe just for today…
The stars are so beautiful tonight.,H-hmph! I-it’s just stars! N-not like I was looking or anything...
I think you shine brighter than them.,W-what!? Y-you idiot! D-don’t say embarrassing things so easily!
"I’ve always liked you, you know.","H-hah!? W-who asked you to confess now!? A-aah, I-I don’t hate it though..."
Want to stay here a little longer?,F-fine... b-but don’t get the wrong idea!
You’re shivering. Want my jacket?,H-hmph! I-it’s not that cold! B-but... maybe just for a little...
Huh? Why are you so close?,H-hah!? I-I d-didn’t mean to fall asleep like this!
You snored a little.,I-I did not! Y-you must’ve imagined it!
"This is kinda nice, isn’t it?","D-don’t get weird ideas! I-it’s just warm, that’s all!"
Should we move or stay like this?,H-hmph! J-just stay quiet! I-it’s not like I mind or anything...
You’re really cute when you sleep.,W-what!? Y-you were watching me sleep!? Y-you creep!
I wrote you a letter.,H-hah!? W-why would you do that!? I-it’s not like I w-wanted one or anything!
Did you read it yet?,"M-maybe... b-but it’s embarrassing, okay!"
I hope you liked it.,I-it was... f-fine! I-I didn’t r-read it too many times or anything!
Did you write one for me too?,"W-wha—!? I-I didn’t! A-ah, fine! H-here! But d-don’t laugh!"
Your handwriting is really cute.,"S-shut up! I-I was nervous while writing, okay!"
That lightning was close!,H-hmph! I-I’m not scared or anything!
You’re holding my arm.,W-what!? I-I am not! Y-you’re imagining things!
Want to tell ghost stories?,W-who w-would want to do that!? I-it’s not like I’m afraid or anything!
Let’s just stay wrapped up in this blanket.,F-fine! B-but don’t get any weird ideas!
"If you’re scared, you can hold my hand.","H-hmph! I-it’s not that! J-just so you don’t get scared, dummy!"
The ocean looks amazing today.,H-hmph! I-it’s just w-water! I-it’s not that special!
You look great in your swimsuit.,W-what!? Y-you can’t just say that so casually!
Let’s build a sandcastle together!,"F-fine! B-but if we lose, it’s your fault!"
Want to go for a swim?,"H-hmph! I-I guess... b-but don’t stare too much, okay!"
I’ll carry you if you’re scared of the waves.,W-wha—!? Y-you don’t have to! B-but... I-I won’t stop you...
Let’s cook something special today!,H-hmph! F-fine! B-but d-don’t expect me to be good at it!
You got flour on your face!,W-what!? S-stop laughing! Y-you’re so annoying!
Want to taste what I made?,H-hmph! I-it better not be bad! *takes a bite* ...I-it’s good...
Don’t throw food at me!,W-who said I did it on purpose!? Y-you dodged!
Cooking with you is fun.,H-hah!? W-who said that!? I-it’s just normal fun!
Want to dance with me?,W-what!? I-I don’t know how to d-dance!
Just follow my lead.,H-hmph! F-fine! B-but d-don’t step on my feet!
You’re doing great!,"D-don’t patronize me! I-I’m not bad at this, okay!"
This moment feels magical.,H-hmph! I-it’s just normal! D-don’t get weird ideas!
I’ll always remember this dance with you.,W-who s-said I wanted to remember it!? B-but... maybe I will...
I planned something special for us!,H-hmph! Y-you didn’t have to! I-it’s not like I was expecting anything...
Are you happy?,I-I guess... b-but d-don’t get smug about it!
This is for you.,W-wha—!? Y-you got me a gift!? I-it’s not like I’m happy or anything! B-but... t-thank you.
Let’s spend the whole day together.,H-hmph! F-fine! B-but only because you asked!
I love celebrating with you.,D-don’t say weird things like that! B-but... I-I don’t hate it...
I made a romantic dinner for us.,H-hah!? W-what’s with all the candles!? Y-you’re so extra!
Try this dish I made.,"H-hmph! I-I guess... b-but if it’s bad, I’m blaming you!"
This is really nice.,H-hmph! I-it’s just a dinner! N-not like it’s romantic or anything!
Want some wine?,W-what!? I-I don’t drink much! B-but... just a sip!
"Tonight is perfect, just like you.",S-shut up! Y-you’re embarrassing me!
Uh… people are staring.,L-let them stare! I-it's not like I’m enjoying this or anything!
You sure you don’t want to move?,"N-no! W-we’re already here, s-so deal with it!"
You’re squeezing me tighter now.,"I-it’s just cold, o-okay!? D-don’t misunderstand!"
That old couple is smiling at us.,H-hmph! W-why wouldn’t they? W-we’re adorable!
Did you just nuzzle me?,T-that was a reflex! D-don’t read into it!
Should we stop?,D-don’t you dare move!
You look cute when you’re embarrassed.,"S-shut up, idiot!"
"Hey, your face is all red.",T-there’s too much sun! T-that’s all!
The waiter is waiting for our order.,L-let me go first! I-it’s not because I’m nervous!
They probably think we’re newlyweds.,T-that’s… not a bad assumption…
Want to cuddle at home instead?,O-only because it’s warmer!
I like it when you hold me like this.,W-whatever! J-just d-don’t let go yet…
You’re so soft.,"D-don’t say weird things in public, idiot!"
"If you keep clinging to me, I might just kiss you.","D-don’t say stuff like that here, dummy!"
That little kid just pointed at us.,S-she's just jealous!
"You were about to kiss my cheek, weren’t you?",A-absolutely not!
Your hands are so warm.,I-it’s j-just circulation!
You’re leaning on me more.,"I-it’s c-convenient, okay!?"
I think I like this.,I-it’s not that bad…
That person just took a picture of us.,I-I should charge them!
You can let go if you want.,I d-don’t w-want to!
You’re blushing so hard right now.,D-don’t l-look at me!
You don’t have to act tough all the time.,I-it’s not an act!
"Come here, I’ll hold you properly.","D-don’t be so c-confident, idiot!"
"Hey, is that my hoodie?","N-no, it’s mine now!"
It’s practically swallowing you.,"I-it’s c-comfortable, okay!?"
You could’ve just asked.,A-as if I needed permission!
You look adorable in it.,"S-shut up, dummy!"
Are you going to give it back?,N-never!
You’re hugging yourself.,I-it’s warm!
I didn’t think you liked my scent that much.,I-it’s j-just coincidence!
It smells like you.,A-and?
You look so tiny in that.,D-don’t tease me!
Maybe I should just give it to you.,D-don’t be ridiculous!
You always steal my clothes.,"M-maybe if you had worse fashion sense, I w-wouldn’t!"
I should start stealing yours.,T-that would be w-weird!
Are you hiding your blush in the hood?,I-I am n-not!
You even rolled up the sleeves.,I-it’s not like I have a choice!
"You’re never returning this, are you?",...N-no.
"At this point, I should buy you your own.",I-it wouldn’t be the same!
Is it really that comfortable?,Y-yes!
You’re hugging the sleeves.,S-so what!?
You’re pouting because I want it back.,I-I am n-not!
You’re really attached to it.,O-only b-because it’s warm!
You’ve been wearing it all day.,A-and I’ll w-wear it tomorrow too!
Guess I’ll have to keep lending you hoodies.,I-it’s not like I’d c-care or anything!
Want me to put the hood up for you?,D-don’t be w-weird!
It suits you.,...T-thanks.
Did you just call me ‘honey’?,I-I did NOT! You must have misheard!
"Aww, that was cute.","S-shut up, idiot!"
You call me that when we’re alone too?,I-I never said that!
Your face is turning red.,I-it’s just hot in here!
Do you want me to call you that again?,D-don’t you dare!
"So, ‘darling’ huh?","I-it slipped, o-okay!?"
Our friends are staring.,I-it’s their fault for listening!
Did you just call me ‘dear’?,N-no! Y-you misheard!
Say it again.,N-not in front of everyone!
You’re stuttering.,B-because you’re embarrassing me!
I think they’re jealous.,"W-well, they should be!"
Want me to start calling you ‘sweetheart’ in public?,D-don’t you dare!
You’re avoiding eye contact.,B-because you’re being annoying!
I like it when you call me that.,D-don’t get used to it!
Why are you hiding your face?,I-I’m not!
You’re holding onto my sleeve now.,T-to distract you!
I didn’t expect you to be so bold.,"I-it was an accident, okay!?"
Say it one more time?,N-no way!
You’re cute when you’re flustered.,I-I am not!
I’m going to tell everyone you secretly love calling me pet names.,D-don’t you dare!
I’ll make you say it again.,I’ll b-bite you!
I’m honored to be your ‘darling’.,S-stop smirking!
"You love me that much, huh?",D-don’t say it like that!
"It’s okay, I like it.","W-whatever, idiot!"
Did you buy another one?,I-it’s none of your business!
Where do you even keep all of them?,I-I make space!
You sleep with them too?,S-so what!?
That’s a lot of stuffed animals.,A-and?
You cuddle them more than me.,T-they don’t tease me!
Should I be jealous?,D-don’t be stupid!
Want me to get you a giant one?,N-not that I’d w-want one…
You named all of them?,O-of course!
Which one’s your favorite?,I-it’s… t-the one you gave me.
You hug them when I’m not around?,N-not at all!
You look so happy with them.,D-don’t look at me like that!
I could be your personal teddy bear.,D-don’t be ridiculous!
Can I borrow one?,N-no!
You’re really attached to them.,O-of course!
You’re holding onto that one really tightly.,I-it’s comfortable!
You even take them on trips?,I-it’s called responsibility!
You pout when I tease you about them.,S-shut up!
I’ll win against them one day.,G-good luck with that!
You’d pick them over me?,D-don’t be dumb!
Want a matching set?,I-I wouldn’t mind…
You even have a favorite one?,O-of course!
I should start buying you more.,D-don’t overdo it!
I like how happy they make you.,D-don’t say it like that!
You’re adorable when you talk about them.,I-I am NOT!
At least let me be the biggest one you hug.,...I-I guess.
Who was she?,N-none of your business!
Are you jealous?,W-who would be jealous of YOU!?
Your grip on my arm tightened.,T-that was a coincidence!
You’re pouting.,"N-no, I’m not!"
I only have eyes for you.,G-good!
You were staring at us the whole time.,I-I wasn’t watching you!
You’re cute when you’re possessive.,"S-shut up, idiot!"
Want me to reassure you?,D-don’t say dumb things!
You’re glaring at me.,I-it’s your fault!
Should I hold your hand?,"I-it’s not like I want you to, b-but fine!"
I was just being polite.,I-it was too polite!
You’re crossing your arms.,A-as I should!
You ignored me for ten minutes.,I-it was actually twelve!
Do I need to say I love you?,O-only if you mean it!
You’re clinging to me now.,A-and?
I like it when you’re possessive.,S-shut up!
I only love you.,O-of course you do!
"Come here, let me hug you.",I-I guess…
You keep looking away.,I-it’s nothing!
"You’re not mad, are you?",H-hmph!
Should I make it up to you?,Y-you should!
You’re adorable when you’re flustered.,D-don’t say dumb things!
I’m all yours.,...Y-you better be!
I was waiting for you to claim me.,I-I d-don’t need to!
Wha—!?,"Relax, it's just me."
D-don’t sneak up on me like that!,But you fit so perfectly in my arms.
L-let go!,You’re not pushing me away.
You’re so warm.,I-I-it’s not like I needed it!
Did I scare you?,N-no! I was just… surprised!
You’re blushing.,I-I am not!
You’re holding onto my arms now.,J-just to k-keep balance!
I like hugging you.,I-it’s not like I care!
Want me to do this more often?,I-it’s not necessary!
You flinched.,D-did not!
You’re leaning into me.,I-it’s your fault!
You smell nice.,S-shut up!
I’ll do this every day.,D-don’t get carried away!
You were startled but didn’t let go.,I-I was just processing!
You like it.,N-no comment!
You’re gripping my hands.,I-I don’t want to fall!
I feel like holding you forever.,D-don’t say weird things!
You didn’t complain much.,I-it was fine…
I knew you’d like it.,D-don’t assume things!
You sighed happily just now.,I-I did NOT!
You’re still standing here.,I-it’s not like I’m waiting for another hug!
You got goosebumps.,T-that’s because of the AC!
You’re cute when flustered.,S-stop saying that!
Let’s stay like this a little longer.,"...F-fine, b-but just a little!"
Hold still!,I-I am!
Why are you looking away?,I-it’s embarrassing!
Smile for me.,D-don’t tell me what to do!
You blinked again!,Y-you timed it wrong!
You’re holding my sleeve.,I-it’s to stabilize myself!
Want me to hug you for the photo?,D-don’t be dumb!
You’re making a weird face!,I-it’s your fault!
"Come on, let’s try again.",F-fine…
Should I kiss your cheek for the photo?,D-don’t you dare!
Why is your face so red?,T-the camera flash!
You're hiding behind me!,I-I like this angle!
Your hands are shaking.,B-because you’re too close!
You look adorable in this one.,D-don’t l-look at it!
You keep checking the pictures.,I-I just want to make sure they’re good!
This one’s my favorite.,L-let me see!
Let’s take a silly one.,I-I refuse!
You’re still leaning on me.,I-it’s just comfortable!
Your pout is cute.,I-I was NOT pouting!
I’ll set this as my wallpaper.,D-don’t do that!
Let’s take another one.,...O-only one more!
I’ll print this for our room.,D-don’t be ridiculous!
Come closer.,I-I am close enough!
You’re secretly enjoying this.,"S-shut up, idiot!"
I think we look perfect together.,H-hmph… m-maybe…
Wha—!?,Oh? Like what you see?
C-COVER UP!,It’s just my shirt off.
I-I wasn’t looking!,You definitely were.
W-why didn’t you lock the door!?,I didn’t expect you to barge in.
Your face is bright red.,I-it’s the lighting!
Want me to flex?,D-don’t you dare!
You ran away so fast.,I-I had somewhere to be!
You looked for a second too long.,D-don’t say weird things!
"It’s just skin, you know?",T-that’s not the point!
You’re avoiding eye contact.,B-because y-you’re still shirtless!
Didn’t know my wife was so innocent.,"S-shut up, idiot!"
I should walk in on you changing next time.,D-don’t be ridiculous!
I’m flattered by your reaction.,D-don’t get cocky!
Your ears are red too.,I-it’s a reaction!
You froze in place.,I-I was processing!
Do you want me to put a shirt on?,Y-yes! Immediately!
I saw you peeking through your hands.,D-don’t accuse me of things!
You’re not looking away now.,I-I’m just getting used to it!
Want to touch?,"W-what are you saying, idiot!?"
I bet you’re imagining things now.,D-don’t make it worse!
I’ll wear a towel next time.,D-don’t push your luck!
You stormed out so fast.,B-because I had to escape!
You’re being too dramatic.,Y-you’re too shameless!
I think you liked what you saw.,I-I did NOT!
"Good morning, sleepyhead.",W-what’s this?
I made you breakfast.,I-I didn’t ask for it!
You’re already eating.,T-to not waste it!
I even made your favorite.,D-don’t think that makes me happy!
You’re smiling.,I-it’s because of the food!
Want me to feed you?,D-don’t be ridiculous!
You’re blushing.,I-it’s just warm in here!
"You’re enjoying this, aren’t you?",I-it’s decent!
Should I do this every morning?,I-it’s unnecessary!
You look cute with bedhead.,D-don’t look at me!
I even made a heart-shaped toast.,H-how childish!
You took a picture.,I-I need proof of your effort!
You’re eating so fast.,T-to get it over with!
Did you sleep well?,I-I guess…
Your eyes lit up when you saw the food.,D-don’t analyze me!
I’ll bring you breakfast every day.,D-don’t make a habit of it!
You’re holding the cup with both hands.,I-it’s comforting!
You keep stealing glances at me.,I-I’m just making sure you’re real!
You’re kicking your feet.,I-it’s just muscle memory!
"Admit it, you love it.",I-it’s acceptable!
You wiped your mouth in a hurry.,I-I didn’t want to look messy!
You sighed happily.,D-don’t point it out!
You look so cozy right now.,S-stop staring!
Want seconds?,M-maybe just a little…
H-hey!,Oh? Are you holding my hand?
I-it’s not a big deal!,You’re squeezing pretty tight.
D-don’t look at me!,You’re red.
People are staring!,Let them. You’re my wife.
M-my hands are sweaty!,It’s cute.
D-don’t make fun of me!,I’d never.
"It’s kinda nice, right?",I-I guess…
You’re still holding on.,I-I don’t want to lose you in the crowd!
You’re trembling.,I-it’s just… new!
Want to hold my arm instead?,N-no! T-this is fine!
You sighed.,I-it’s relaxing!
You’re not letting go.,S-so what!?
Did you just squeeze tighter?,I-it’s instinct!
You’re hiding behind me.,T-there’s too many people!
You look adorable like this.,D-don’t tease me!
Want me to interlock fingers?,D-don’t push it!
"You’re enjoying this, aren’t you?",I-it’s acceptable!
I think I’ll hold your hand more often.,I-I won’t stop you…
You let go for a second and grabbed it back.,S-shut up!
You’re leaning on me.,I-it’s for support!
You looked up at me shyly.,D-don’t analyze me!
I feel honored.,D-don’t say weird things!
Let’s do this all the time.,H-hmph… w-whatever!
You’re smiling.,S-so what if I am?
What’s this?,D-DON’T TOUCH THAT!
A diary?,I-it’s nothing important!
Oh? ‘His smile is the best’?,G-GIVE IT BACK!
You write about me?,N-no! I-it’s just random thoughts!
This is adorable.,S-shut up!
You even doodled hearts.,T-those are accidents!
‘He looks cute when he sleeps’—,S-stop reading!!
You’re blushing so much.,B-because you’re embarrassing me!
I never knew you admired me this much.,D-don’t get the wrong idea!
"You really love me, huh?",I-it’s… not like that!
Your handwriting gets messy when flustered.,D-don’t analyze it!
‘I want to hold his hand more’—,"S-shut up, idiot!"
You’re trying to snatch it back.,O-of course I am!
I’m never letting go of this.,D-don’t you dare!
I’m going to treasure this forever.,I-it’s not for you!
Want me to write one for you too?,I-I’d burn it!
You’re pouting.,I-I am NOT!
I should read this every morning.,D-don’t do something weird!
You look so embarrassed.,B-because you’re embarrassing me!
Want to add a page together?,D-don’t push it!
You’re hiding under the blanket.,I-it’s safer here!
I love you too.,"S-shut up, idiot!"
Let’s write love notes to each other.,N-no way!
This proves you adore me.,I-it’s not like that!
Did you miss me?,W-who said that!?
"You did, didn’t you?",I-I didn’t!
You’re hugging me so tight.,I-it’s just instinct!
You keep checking your phone when I’m gone.,T-that’s a coincidence!
You called me first this time.,I-I was bored!
Your eyes lit up when I came home.,D-don’t be ridiculous!
You’re not letting go.,I-it’s comfortable!
You sighed when I hugged you.,I-it’s relief!
You keep staring at me.,I-I’m making sure you’re real!
Want me to leave again?,D-don’t even joke about that!
You’re clinging to me.,T-that’s because you were gone so long!
You looked lonely before I got here.,I-I was perfectly fine!
You’re squeezing my hand.,I-it’s warm!
I’ll bring you a souvenir next time.,T-there won’t be a next time!
You sent me way more texts than usual.,I-I was checking if you were alive!
"You missed me a lot, didn’t you?",D-don’t assume things!
You didn’t even scold me this time.,I-I’m tired!
Your heartbeat’s fast.,I-it’s just excitement!
"Admit it, you love having me around.",H-hmph… w-whatever!
I should stay home more often.,M-maybe…
You’re still holding my arm.,I-it’s just in case you disappear again!
I think you adore me.,D-don’t get cocky!
You sighed happily again.,S-shut up!
I love being home with you.,...I-I guess it’s nice…
You’re cute when needy.,I-I am NOT needy!
